Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,L2_Error,PDE_Weight,IC_Weight,IC_V_Weight,BC_Weight
0,1.0357554688e+05,1.8303360605e-08,4.6454101801e-01,4.6430697828e-12,9.5793950300e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
20,3.3992273438e+04,2.4044906721e-02,2.8775951266e-01,3.0567091017e-05,7.6123316212e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
40,1.8669203125e+04,1.2899205089e-02,1.6300708055e-01,1.0553219454e-06,5.7204037603e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
60,1.4591604492e+04,2.6125055738e-03,8.4306545556e-02,3.3334345062e-08,4.0956549788e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
80,6.1170000000e+03,1.5038694255e-02,4.3909348547e-02,2.4055518111e-07,3.0098389978e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
100,3.0065751953e+03,5.1589449868e-03,1.8852975219e-02,2.5205798693e-07,1.9458968123e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
120,3.7265458984e+03,1.7363582738e-03,5.2083525807e-03,4.2940115463e-08,1.0195383805e-01,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
140,1.9802857666e+03,3.6509818165e-04,1.2307423167e-03,4.8334458658e-10,4.9254962056e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
160,1.8919532471e+03,5.0068658311e-05,1.3245145965e-04,4.7078519468e-13,1.5968030065e-02,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
180,6.6081231689e+02,2.7808853247e-06,1.0573814507e-05,3.7867902173e-13,4.5361219492e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
200,1.0101775513e+03,3.1529103239e-07,7.3633339071e-07,3.8111674190e-13,1.4112096007e-03,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
220,8.4302832031e+02,7.8788184865e-09,4.5510223146e-08,3.8568448565e-13,7.0622719194e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
240,7.8039965820e+02,7.8818379601e-10,1.0236509418e-09,3.8654829663e-13,6.2624634638e-04,1.0384615385e+04,1.0384615385e+05,5.1923076923e+04,1.0384615385e+05
